time,lat,lon,alt,x,y,z
1,NaN,NaN,NaN,NaN,-0.22825254,162.447
2,NaN,NaN,NaN,NaN,0.22911593,161.93968
3,NaN,NaN,NaN,NaN,NaN,162.36244
4,NaN,NaN,NaN,NaN,NaN,161.77058
5,NaN,NaN,NaN,NaN,0.2290921,161.68602
6,NaN,NaN,NaN,NaN,NaN,161.93968
7,NaN,NaN,NaN,NaN,NaN,161.93968
8,NaN,NaN,NaN,NaN,0.46006367,162.36244
9,NaN,NaN,NaN,NaN,0.4636802,162.2779
10,NaN,NaN,NaN,NaN,NaN,162.36244
11,NaN,NaN,NaN,NaN,NaN,162.36244
12,NaN,NaN,NaN,NaN,NaN,161.77058
13,NaN,NaN,NaN,NaN,NaN,161.51692
14,NaN,NaN,NaN,NaN,NaN,161.60147
15,NaN,NaN,NaN,-1.597476,0.22818011,161.93968
16,NaN,NaN,NaN,NaN,NaN,162.36244
17,NaN,NaN,NaN,NaN,NaN,162.19334
18,NaN,NaN,NaN,NaN,0.23001145,161.68602
19,NaN,NaN,NaN,NaN,NaN,162.02423
20,NaN,NaN,NaN,NaN,NaN,161.51692
21,NaN,NaN,NaN,NaN,NaN,161.85513
22,NaN,NaN,NaN,NaN,NaN,161.77058
23,NaN,NaN,NaN,NaN,NaN,162.1088
24,NaN,NaN,NaN,NaN,-0.0,162.02423
25,NaN,NaN,NaN,NaN,0.23001145,162.36244
26,NaN,NaN,NaN,NaN,0.46006367,162.1088
27,NaN,NaN,NaN,NaN,NaN,162.2779
28,NaN,NaN,NaN,NaN,NaN,162.02423
29,NaN,NaN,NaN,NaN,NaN,161.26326
30,NaN,NaN,NaN,NaN,NaN,162.2779
31,NaN,NaN,NaN,NaN,NaN,162.02423
32,NaN,NaN,NaN,NaN,NaN,161.77058
33,NaN,NaN,NaN,NaN,-0.0,161.85513
34,NaN,NaN,NaN,NaN,NaN,162.2779
35,NaN,NaN,NaN,NaN,NaN,162.19334
36,NaN,NaN,NaN,NaN,NaN,161.93968
37,NaN,NaN,NaN,NaN,NaN,162.36244
38,NaN,NaN,NaN,NaN,NaN,162.2779
39,NaN,NaN,NaN,NaN,NaN,161.34781
40,NaN,NaN,NaN,NaN,-0.0,161.43237
41,NaN,NaN,NaN,NaN,NaN,162.02423
42,NaN,NaN,NaN,NaN,NaN,161.68602
43,NaN,NaN,NaN,NaN,NaN,161.60147
44,NaN,NaN,NaN,NaN,NaN,162.02423
45,NaN,NaN,NaN,NaN,NaN,162.02423
46,NaN,NaN,NaN,NaN,NaN,162.447
47,NaN,NaN,NaN,NaN,NaN,161.93968
48,NaN,NaN,NaN,NaN,NaN,161.93968
49,NaN,NaN,NaN,-1.6103005,-0.0,161.43237
50,NaN,NaN,NaN,NaN,NaN,161.93968
51,NaN,NaN,NaN,NaN,NaN,161.93968
52,NaN,NaN,NaN,NaN,NaN,162.2779
53,NaN,NaN,NaN,NaN,NaN,162.02423
54,NaN,NaN,NaN,NaN,NaN,162.02423
55,NaN,NaN,NaN,NaN,NaN,161.93968
56,NaN,NaN,NaN,NaN,-0.2291361,161.93968
57,NaN,NaN,NaN,NaN,0.22911593,161.60147
58,NaN,NaN,NaN,NaN,NaN,161.34781
59,NaN,NaN,NaN,NaN,0.6873789,161.68602
60,NaN,NaN,NaN,NaN,-0.0,161.68602
61,NaN,NaN,NaN,NaN,NaN,161.34781
62,NaN,NaN,NaN,NaN,NaN,162.1088
63,NaN,NaN,NaN,NaN,NaN,161.60147
64,NaN,NaN,NaN,NaN,NaN,161.34781
65,NaN,NaN,NaN,NaN,-0.0,161.85513
66,NaN,NaN,NaN,NaN,NaN,NaN
67,NaN,NaN,NaN,NaN,0.46006367,161.85513
68,NaN,NaN,NaN,NaN,NaN,161.51692
69,NaN,NaN,NaN,NaN,NaN,162.02423
70,NaN,NaN,NaN,NaN,NaN,161.43237
71,NaN,NaN,NaN,NaN,NaN,162.2779
72,NaN,NaN,NaN,NaN,NaN,161.68602
73,NaN,NaN,NaN,NaN,NaN,161.51692
74,NaN,NaN,NaN,NaN,NaN,161.85513
75,NaN,NaN,NaN,NaN,NaN,161.85513
76,NaN,NaN,NaN,NaN,0.45643985,161.77058
77,NaN,NaN,NaN,NaN,NaN,161.43237
78,NaN,NaN,NaN,NaN,NaN,162.02423
79,NaN,NaN,NaN,NaN,NaN,162.02423
80,NaN,NaN,NaN,NaN,0.4636156,162.02423
81,NaN,NaN,NaN,NaN,-0.22911593,161.77058
82,NaN,NaN,NaN,NaN,NaN,161.17871
83,NaN,NaN,NaN,NaN,NaN,161.34781
84,NaN,NaN,NaN,NaN,-0.22911593,161.43237
85,NaN,NaN,NaN,NaN,NaN,161.51692
86,NaN,NaN,NaN,NaN,NaN,161.68602
87,NaN,NaN,NaN,NaN,NaN,161.51692
88,NaN,NaN,NaN,NaN,NaN,161.51692
89,NaN,NaN,NaN,NaN,NaN,161.51692
90,NaN,NaN,NaN,NaN,-0.0,161.85513
91,NaN,NaN,NaN,NaN,NaN,161.43237
92,NaN,NaN,NaN,NaN,NaN,161.43237
93,NaN,NaN,NaN,NaN,NaN,161.68602
94,NaN,NaN,NaN,NaN,NaN,161.17871
95,NaN,NaN,NaN,NaN,NaN,161.93968
96,NaN,NaN,NaN,NaN,NaN,161.68602
97,NaN,NaN,NaN,NaN,-0.0,162.02423
98,NaN,NaN,NaN,NaN,NaN,162.1088
99,NaN,NaN,NaN,NaN,NaN,161.85513
100,NaN,NaN,NaN,NaN,NaN,161.51692
101,NaN,NaN,NaN,NaN,NaN,161.26326
102,NaN,NaN,NaN,NaN,-0.23001145,161.77058
103,NaN,NaN,NaN,NaN,NaN,161.85513
104,NaN,NaN,NaN,NaN,NaN,162.02423
105,NaN,NaN,NaN,NaN,0.23005594,162.2779
106,NaN,NaN,NaN,NaN,NaN,162.2779
107,NaN,NaN,NaN,NaN,NaN,161.43237
108,NaN,NaN,NaN,NaN,NaN,162.02423
109,NaN,NaN,NaN,NaN,0.22911593,161.26326
110,NaN,NaN,NaN,NaN,NaN,NaN
111,NaN,NaN,NaN,NaN,NaN,161.85513
112,NaN,NaN,NaN,NaN,NaN,161.85513
113,NaN,NaN,NaN,NaN,-0.0,161.85513
114,NaN,NaN,NaN,NaN,NaN,161.77058
115,NaN,NaN,NaN,NaN,NaN,161.26326
116,NaN,NaN,NaN,NaN,NaN,161.77058
117,NaN,NaN,NaN,NaN,NaN,161.43237
118,NaN,NaN,NaN,NaN,NaN,161.77058
119,NaN,NaN,NaN,NaN,NaN,161.68602
120,NaN,NaN,NaN,NaN,NaN,162.02423
121,NaN,NaN,NaN,NaN,NaN,161.77058
122,NaN,NaN,NaN,NaN,NaN,162.19334
123,NaN,NaN,NaN,NaN,NaN,161.77058
124,NaN,NaN,NaN,NaN,NaN,162.02423
125,NaN,NaN,NaN,NaN,NaN,161.77058
126,NaN,NaN,NaN,NaN,NaN,NaN
127,NaN,NaN,NaN,NaN,-0.0,162.1088
128,NaN,NaN,NaN,NaN,-0.0,161.60147
129,NaN,NaN,NaN,NaN,NaN,161.26326
130,NaN,NaN,NaN,NaN,NaN,161.17871
131,NaN,NaN,NaN,NaN,NaN,161.43237
132,NaN,NaN,NaN,NaN,NaN,161.77058
133,NaN,NaN,NaN,NaN,-0.0,161.43237
134,NaN,NaN,NaN,NaN,0.22911593,161.26326
135,NaN,NaN,NaN,NaN,NaN,161.68602
136,NaN,NaN,NaN,NaN,NaN,161.26326
137,NaN,NaN,NaN,NaN,NaN,161.26326
138,NaN,NaN,NaN,NaN,NaN,161.0096
139,NaN,NaN,NaN,NaN,NaN,161.68602
140,NaN,NaN,NaN,NaN,NaN,161.77058
141,NaN,NaN,NaN,NaN,-0.22820364,161.34781
142,NaN,NaN,NaN,-1.6167903,0.46186885,160.8405
143,NaN,NaN,NaN,NaN,NaN,161.60147
144,NaN,NaN,NaN,NaN,NaN,161.34781
145,NaN,NaN,NaN,NaN,NaN,161.93968
146,NaN,NaN,NaN,NaN,NaN,161.68602
147,NaN,NaN,NaN,NaN,-0.0,161.77058
