time,lat,lon,alt,x,y,z
1,0.0,0.0,0.0,-1.1550004,0.23098318,135.59093
2,0.0,0.0,0.0,-1.6167903,0.46186885,136.4338
3,0.0,0.0,0.0,-2.29061,0.22899877,136.0956
4,0.0,0.0,0.0,-2.0867772,0.9271705,136.4338
5,0.0,0.0,0.0,-2.5499492,-0.0,135.9265
6,0.0,0.0,0.0,-2.2997997,0.22991697,136.34926
7,0.0,0.0,0.0,-1.8401953,0.45995986,135.9265
8,0.0,0.0,0.0,-2.2997997,-0.0,136.60292
9,0.0,0.0,0.0,-2.07837,0.23087816,136.0956
10,0.0,0.0,0.0,-1.3748348,0.22911593,136.34926
11,0.0,0.0,0.0,-1.6103005,0.23001145,135.9265
12,0.0,0.0,0.0,-1.825542,-0.0,136.60292
13,0.0,0.0,0.0,-1.8401953,0.45995986,136.60292
14,0.0,0.0,0.0,-1.8476102,0.46181262,136.01105
15,0.0,0.0,0.0,-1.8550853,0.4636802,136.01105
16,0.0,0.0,0.0,-2.07837,-0.0,136.60292
17,0.0,0.0,0.0,-1.6167903,0.46186885,135.84459
