time,lat,lon,alt,x,y,z
1,NaN,NaN,NaN,NaN,0.22823983,162.86977
2,NaN,NaN,NaN,NaN,NaN,162.95432
3,NaN,NaN,NaN,NaN,0.22823983,163.12343
4,NaN,NaN,NaN,NaN,NaN,162.86977
5,NaN,NaN,NaN,NaN,NaN,162.95432
6,NaN,NaN,NaN,NaN,NaN,162.53156
7,NaN,NaN,NaN,NaN,NaN,162.95432
8,NaN,NaN,NaN,NaN,NaN,162.447
9,NaN,NaN,NaN,NaN,NaN,162.78522
10,NaN,NaN,NaN,NaN,NaN,162.78522
11,NaN,NaN,NaN,NaN,NaN,162.53156
12,NaN,NaN,NaN,NaN,NaN,163.03886
13,NaN,NaN,NaN,NaN,NaN,163.12343
14,NaN,NaN,NaN,NaN,0.69018817,162.70065
15,NaN,NaN,NaN,NaN,NaN,162.70065
16,NaN,NaN,NaN,NaN,NaN,162.86977
17,NaN,NaN,NaN,NaN,NaN,163.03886
18,NaN,NaN,NaN,NaN,NaN,162.6161
19,NaN,NaN,NaN,NaN,NaN,162.86977
20,NaN,NaN,NaN,NaN,NaN,162.6161
21,NaN,NaN,NaN,NaN,0.4601823,162.95432
22,NaN,NaN,NaN,NaN,NaN,163.03886
23,NaN,NaN,NaN,NaN,NaN,162.78522
24,NaN,NaN,NaN,NaN,NaN,163.03886
25,NaN,NaN,NaN,NaN,NaN,162.6161
26,NaN,NaN,NaN,NaN,NaN,162.6161
27,NaN,NaN,NaN,NaN,NaN,162.95432
28,NaN,NaN,NaN,NaN,-0.0,163.03886
29,NaN,NaN,NaN,NaN,NaN,162.86977
30,NaN,NaN,NaN,NaN,NaN,163.03886
31,NaN,NaN,NaN,NaN,0.45995986,162.36244
32,NaN,NaN,NaN,NaN,NaN,163.03886
33,NaN,NaN,NaN,NaN,NaN,162.36244
34,NaN,NaN,NaN,NaN,NaN,163.20798
35,NaN,NaN,NaN,-1.3748348,0.22911593,163.29517
36,NaN,NaN,NaN,NaN,-0.0,163.29517
37,NaN,NaN,NaN,NaN,NaN,163.54619
38,NaN,NaN,NaN,NaN,NaN,163.29517
39,NaN,NaN,NaN,NaN,NaN,162.95432
40,NaN,NaN,NaN,NaN,NaN,163.03886
41,NaN,NaN,NaN,NaN,NaN,162.86977
42,NaN,NaN,NaN,NaN,NaN,163.03886
43,NaN,NaN,NaN,NaN,NaN,163.12343
44,NaN,NaN,NaN,NaN,NaN,163.12343
45,NaN,NaN,NaN,NaN,NaN,163.20798
46,NaN,NaN,NaN,NaN,NaN,163.29517
47,NaN,NaN,NaN,NaN,NaN,163.03886
48,NaN,NaN,NaN,NaN,NaN,162.95432
49,NaN,NaN,NaN,NaN,0.23091003,163.37708
50,NaN,NaN,NaN,NaN,NaN,NaN
51,NaN,NaN,NaN,NaN,NaN,163.37708
52,NaN,NaN,NaN,NaN,NaN,162.86977
53,NaN,NaN,NaN,NaN,NaN,163.12343
54,NaN,NaN,NaN,NaN,NaN,162.78522
55,NaN,NaN,NaN,NaN,NaN,163.54619
56,NaN,NaN,NaN,NaN,NaN,162.86977
57,NaN,NaN,NaN,NaN,NaN,163.37708
58,NaN,NaN,NaN,NaN,NaN,162.95432
59,NaN,NaN,NaN,NaN,NaN,162.78522
60,NaN,NaN,NaN,NaN,-0.69864243,162.53156
61,NaN,NaN,NaN,NaN,NaN,163.46164
62,NaN,NaN,NaN,NaN,NaN,163.12343
63,NaN,NaN,NaN,NaN,NaN,163.12343
64,NaN,NaN,NaN,NaN,NaN,162.6161
65,NaN,NaN,NaN,NaN,-0.67139906,163.03886
66,NaN,NaN,NaN,NaN,0.22822356,163.12343
