time,lat,lon,alt,x,y,z
1,0.0,0.0,0.0,-7.2840242,2.775399,173.9541
2,0.0,0.0,0.0,-6.8343115,2.767705,174.29495
3,0.0,0.0,0.0,-7.338607,2.5812728,174.54861
4,0.0,0.0,0.0,-6.8853974,2.788262,174.46407
5,0.0,0.0,0.0,-7.580373,2.589645,174.03865
6,0.0,0.0,0.0,-7.125016,2.797371,174.46407
7,0.0,0.0,0.0,-6.7224765,3.241889,174.97137
8,0.0,0.0,0.0,-6.93725,3.0248237,174.63316
9,0.0,0.0,0.0,-7.0984035,2.7869928,174.3795
10,0.0,0.0,0.0,-7.151828,2.5921469,174.29495
11,0.0,0.0,0.0,-6.8853974,3.0023649,174.03865
12,0.0,0.0,0.0,-6.93725,2.3774922,174.3795
13,0.0,0.0,0.0,-6.911227,2.5836775,174.29495
14,0.0,0.0,0.0,-7.338607,3.0107493,174.63316
15,0.0,0.0,0.0,-6.507513,2.8116045,174.46407
16,0.0,0.0,0.0,-6.773513,2.831586,174.63316
17,0.0,0.0,0.0,-7.151828,2.5921469,174.46407
18,0.0,0.0,0.0,-6.93725,2.5933447,174.3795
19,0.0,0.0,0.0,-6.911227,3.0135531,173.9541
20,0.0,0.0,0.0,-7.125016,2.797371,173.9541
21,0.0,0.0,0.0,-7.125016,2.5824924,173.9541
22,0.0,0.0,0.0,-7.0984035,3.2149217,173.9541
23,0.0,0.0,0.0,-7.0457687,2.9788985,174.54861
24,0.0,0.0,0.0,-6.7224765,2.5945077,174.46407
25,0.0,0.0,0.0,-7.125016,2.5824924,174.12585
26,0.0,0.0,0.0,-7.071989,2.7766907,175.05592
27,0.0,0.0,0.0,-7.338607,2.7960505,174.88683
28,0.0,0.0,0.0,-7.338607,2.5812728,174.63316
29,0.0,0.0,0.0,-7.338607,2.7960505,174.54861
30,0.0,0.0,0.0,-7.0457687,2.5539522,174.63316
31,0.0,0.0,0.0,-6.911227,2.5836775,174.88683
32,0.0,0.0,0.0,-6.6972437,1.9391959,174.46407
33,0.0,0.0,0.0,-6.434739,2.353124,174.97137
34,0.0,0.0,0.0,-7.2334785,2.8396614,174.63316
35,0.0,0.0,0.0,-7.338607,2.7960505,174.88683
36,0.0,0.0,0.0,-7.338607,2.7960505,174.29495
37,0.0,0.0,0.0,-7.394008,2.8170083,174.80228
38,0.0,0.0,0.0,-6.747898,4.76674,174.29495
39,0.0,0.0,0.0,-6.413304,3.3066278,175.14049
40,0.0,0.0,0.0,-6.911227,2.7986546,174.3795
41,0.0,0.0,0.0,-6.6972437,2.7998996,174.46407
42,0.0,0.0,0.0,-7.0984035,3.000999,174.54861
43,0.0,0.0,0.0,-7.413195,2.5329301,174.63316
44,0.0,0.0,0.0,-6.93725,2.5933447,174.54861
45,0.0,0.0,0.0,-6.507513,2.5956354,174.63316
