time,lat,lon,alt,x,y,z
1,0.0,0.0,0.0,2.0535502,3.6450493,332.9767
2,0.0,0.0,0.0,2.0535502,4.0992136,333.14847
3,0.0,0.0,0.0,1.597476,3.8731718,332.9767
4,0.0,0.0,0.0,1.6038626,4.1165824,332.80496
5,0.0,0.0,0.0,2.29061,4.342665,332.11798
6,0.0,0.0,0.0,1.818303,4.083566,332.9767
7,0.0,0.0,0.0,1.8328396,3.6600678,332.37692
8,0.0,0.0,0.0,2.27245,3.8563187,332.80496
9,0.0,0.0,0.0,1.6103005,3.9041615,332.4615
10,0.0,0.0,0.0,2.0617578,4.115533,332.28973
11,0.0,0.0,0.0,1.5911402,3.8578608,332.4615
12,0.0,0.0,0.0,2.0700307,4.131983,332.20517
13,0.0,0.0,0.0,1.6103005,4.361795,332.11798
14,0.0,0.0,0.0,1.862621,3.9510972,332.28973
15,0.0,0.0,0.0,1.8401953,4.1325464,332.37692
16,0.0,0.0,0.0,2.0617578,4.115533,332.37692
17,0.0,0.0,0.0,1.8328396,4.34391,332.20517
