time,lat,lon,alt,x,y,z
1,0.0,0.0,0.0,-35.83765,-84.9647,75.28631
2,0.0,0.0,0.0,-34.508522,-85.62864,75.53732
3,0.0,0.0,0.0,-29.054605,-85.310135,75.370865
4,0.0,0.0,0.0,-29.054605,-85.34704,75.53732
5,0.0,0.0,0.0,-33.690067,-85.112686,75.455414
6,0.0,0.0,0.0,-30.068583,-85.0209,75.11985
7,0.0,0.0,0.0,-30.465546,-85.54242,75.28631
8,0.0,0.0,0.0,-34.508522,-85.5766,75.28631
9,0.0,0.0,0.0,-32.005383,-85.68396,75.70643
10,0.0,0.0,0.0,-31.429564,-85.2524,75.2044
11,0.0,0.0,0.0,-31.429564,-85.1768,75.2044
12,0.0,0.0,0.0,-32.905243,-85.40609,74.78428
13,0.0,0.0,0.0,-36.253838,-85.72776,75.28631
14,0.0,0.0,0.0,-30.465546,-85.524796,75.11985
15,0.0,0.0,0.0,-32.905243,-85.44211,74.86883
16,0.0,0.0,0.0,-31.429564,-85.2149,74.950745
17,0.0,0.0,0.0,-31.429564,-85.23373,75.03529
18,0.0,0.0,0.0,-31.429564,-85.2524,74.86883
19,0.0,0.0,0.0,-32.905243,-85.40609,75.03529
20,0.0,0.0,0.0,-35.217594,-85.279564,75.53732
21,0.0,0.0,0.0,-32.905243,-85.42418,74.533264
22,0.0,0.0,0.0,-40.91438,-85.51398,75.70643
23,0.0,0.0,0.0,-35.83765,-84.9647,75.03529
24,0.0,0.0,0.0,-32.905243,-85.38787,75.28631
25,0.0,0.0,0.0,-32.005383,-85.71809,74.78428
26,0.0,0.0,0.0,-31.429564,-85.19593,75.790985
27,0.0,0.0,0.0,-29.054605,-85.34704,75.03529
