time,lat,lon,alt,x,y,z
1,0.0,0.0,0.0,2.9903448,2.1340036,136.0956
2,0.0,0.0,0.0,3.6431282,2.1405766,136.4338
3,0.0,0.0,0.0,3.3913393,2.3289013,135.67548
4,0.0,0.0,0.0,3.416588,2.3462002,136.18016
5,0.0,0.0,0.0,3.3913393,1.9058117,136.4338
6,0.0,0.0,0.0,3.416588,2.133116,135.16817
7,0.0,0.0,0.0,3.616114,2.5491734,135.9265
8,0.0,0.0,0.0,3.203511,2.1335745,135.42183
9,0.0,0.0,0.0,3.4293542,1.7131429,136.0956
10,0.0,0.0,0.0,3.1916265,2.1256747,136.18016
11,0.0,0.0,0.0,2.9903448,2.1340036,136.4338
12,0.0,0.0,0.0,3.203511,2.1335745,136.01105
13,0.0,0.0,0.0,3.1916265,2.338017,136.01105
14,0.0,0.0,0.0,3.416588,2.133116,135.76004
15,0.0,0.0,0.0,3.227547,2.1495512,135.84459
16,0.0,0.0,0.0,3.6295707,2.3456638,136.60292
17,0.0,0.0,0.0,3.215484,2.3554564,135.76004
18,0.0,0.0,0.0,3.4293542,1.0709087,135.59093
19,0.0,0.0,0.0,3.6431282,1.926689,135.25272
20,0.0,0.0,0.0,3.4293542,1.7131429,134.40984
21,0.0,0.0,0.0,4.590543,1.0420744,134.57893
