time,lat,lon,alt,x,y,z
1,0.0,0.0,0.0,-6.8597603,2.7779453,174.71771
2,0.0,0.0,0.0,-6.6721997,2.789493,174.71771
3,0.0,0.0,0.0,-7.125016,2.797371,174.97137
4,0.0,0.0,0.0,-6.7224765,3.026179,174.88683
5,0.0,0.0,0.0,-7.6089664,2.8156188,174.54861
6,0.0,0.0,0.0,-6.911227,2.5836775,173.70044
7,0.0,0.0,0.0,-6.5321364,2.1716244,174.12585
8,0.0,0.0,0.0,-6.4830747,2.8011076,173.61589
9,0.0,0.0,0.0,8.488943,-2.113521,173.27768
10,0.0,0.0,0.0,-6.5569468,2.3975687,174.2104
11,0.0,0.0,0.0,-6.1000595,2.6075733,174.29495
12,0.0,0.0,0.0,-6.458816,2.147376,174.3795
13,0.0,0.0,0.0,-6.268721,2.3716946,174.46407
14,0.0,0.0,0.0,-5.7958865,2.5698338,174.2104
15,0.0,0.0,0.0,-6.0541916,2.3726523,174.46407
16,0.0,0.0,0.0,-5.928695,2.6284304,174.63316
17,0.0,0.0,0.0,-6.268721,2.587022,174.71771
18,0.0,0.0,0.0,-6.0770397,2.813931,174.71771
19,0.0,0.0,0.0,-6.434739,2.1394122,174.71771
20,0.0,0.0,0.0,-6.245252,2.3628602,174.54861
21,0.0,0.0,0.0,-6.245252,2.5773878,174.54861
22,0.0,0.0,0.0,-6.2219586,2.567826,174.29495
23,0.0,0.0,0.0,-6.245252,2.5773878,174.71771
