time,lat,lon,alt,x,y,z
1,0.0,0.0,0.0,5.7105923,-83.2042,34.526592
2,0.0,0.0,0.0,5.5275397,-82.92673,35.528015
3,0.0,0.0,0.0,9.782407,-83.36541,36.03005
4,0.0,0.0,0.0,9.162348,-82.84099,35.528015
5,0.0,0.0,0.0,5.7105923,-83.15056,35.528015
6,0.0,0.0,0.0,7.5946426,-83.17832,35.948135
7,0.0,0.0,0.0,7.35238,-82.92939,35.27964
8,0.0,0.0,0.0,7.5946426,-83.15151,35.110535
9,0.0,0.0,0.0,5.355825,-82.73168,35.27964
10,0.0,0.0,0.0,8.130103,-83.59597,35.446106
11,0.0,0.0,0.0,9.462321,-83.11827,35.27964
12,0.0,0.0,0.0,9.462321,-83.11827,35.446106
13,0.0,0.0,0.0,5.7105923,-83.17748,35.948135
14,0.0,0.0,0.0,7.35238,-82.92939,36.03005
15,0.0,0.0,0.0,7.853313,-83.399666,35.446106
16,0.0,0.0,0.0,7.35238,-82.90151,35.528015
17,0.0,0.0,0.0,6.709837,-82.29388,35.27964
18,0.0,0.0,0.0,3.5763342,-82.8056,35.028625
19,0.0,0.0,0.0,9.162348,-82.92502,35.77903
20,0.0,0.0,0.0,3.9451864,-83.41986,35.69712
22,0.0,0.0,0.0,12.339087,-82.62279,36.03005
23,0.0,0.0,0.0,4.0856166,-83.69343,35.948135
24,0.0,0.0,0.0,5.7105923,-83.17748,36.19651
25,0.0,0.0,0.0,3.8140743,-83.22274,36.19651
26,0.0,0.0,0.0,3.8140743,-83.1961,35.612568
27,0.0,0.0,0.0,5.7105923,-83.17748,35.948135
28,0.0,0.0,0.0,7.35238,-82.8734,35.863583
29,0.0,0.0,0.0,5.5275397,-82.954506,35.528015
30,0.0,0.0,0.0,5.355825,-82.73168,36.1146
31,0.0,0.0,0.0,6.1155033,-83.62382,35.612568
32,0.0,0.0,0.0,5.5275397,-82.954506,35.612568
33,0.0,0.0,0.0,7.5946426,-83.17832,35.446106
34,0.0,0.0,0.0,5.906141,-83.40059,35.27964
35,0.0,0.0,0.0,4.236395,-83.84363,36.03005
