time,lat,lon,alt,x,y,z
1,0.0,0.0,0.0,9.462321,3.8995595,203.11952
2,0.0,0.0,0.0,9.387378,4.322592,202.86586
3,0.0,0.0,0.0,9.462321,3.8995595,202.69412
4,0.0,0.0,0.0,9.462321,4.1281743,202.78131
5,0.0,0.0,0.0,9.6503,4.564007,202.86586
6,0.0,0.0,0.0,9.235559,4.5879774,203.11952
7,0.0,0.0,0.0,9.424701,4.567014,202.44046
8,0.0,0.0,0.0,9.6887865,4.353765,202.78131
9,0.0,0.0,0.0,9.235559,4.1308556,202.78131
10,0.0,0.0,0.0,9.6887865,3.66838,202.44046
11,0.0,0.0,0.0,8.816442,4.1524625,202.52501
12,0.0,0.0,0.0,9.914946,4.1226296,202.35591
13,0.0,0.0,0.0,9.727578,3.6828861,202.27135
14,0.0,0.0,0.0,9.090278,3.616067,202.44046
15,0.0,0.0,0.0,9.387378,3.869045,202.86586
16,0.0,0.0,0.0,9.462321,3.8995595,202.78131
17,0.0,0.0,0.0,9.6887865,4.125432,202.86586
18,0.0,0.0,0.0,9.424701,3.6563969,202.78131
19,0.0,0.0,0.0,8.816442,4.1524625,202.52501
20,0.0,0.0,0.0,9.162348,4.098501,202.86586
21,0.0,0.0,0.0,9.6887865,4.125432,202.69412
22,0.0,0.0,0.0,9.272602,4.3767514,202.78131
23,0.0,0.0,0.0,9.766679,3.6975062,202.52501
24,0.0,0.0,0.0,9.6503,3.8816826,202.78131
25,0.0,0.0,0.0,9.272602,4.1472216,202.0177
26,0.0,0.0,0.0,9.875596,4.1064863,202.78131
27,0.0,0.0,0.0,8.194263,4.752777,202.52501
28,0.0,0.0,0.0,9.57699,4.177562,202.69412
29,0.0,0.0,0.0,5.6175804,0.46737173,202.78131
