time,lat,lon,alt,x,y,z
1,0.0,0.0,0.0,8.746162,4.119734,216.11687
2,0.0,0.0,0.0,9.008504,4.133476,216.11687
3,0.0,0.0,0.0,9.198809,4.1146154,216.45772
4,0.0,0.0,0.0,8.937032,4.10106,217.13678
5,0.0,0.0,0.0,8.676986,3.8611329,216.62683
6,0.0,0.0,0.0,9.162348,4.098501,216.88313
7,0.0,0.0,0.0,9.008504,3.675538,216.71402
8,0.0,0.0,0.0,8.937032,4.3280544,216.28862
9,0.0,0.0,0.0,8.972628,4.3450856,216.45772
10,0.0,0.0,0.0,8.519423,3.893915,216.54227
11,0.0,0.0,0.0,8.553542,4.3675833,217.13678
12,0.0,0.0,0.0,9.235559,3.2150872,216.79857
13,0.0,0.0,0.0,9.162348,4.098501,216.28862
14,0.0,0.0,0.0,9.126171,3.6301866,216.37317
15,0.0,0.0,0.0,8.816442,3.4622366,216.79857
16,0.0,0.0,0.0,8.451985,3.86341,216.28862
17,0.0,0.0,0.0,8.746162,3.891584,216.62683
18,0.0,0.0,0.0,8.711438,3.6489167,216.54227
19,0.0,0.0,0.0,8.901716,4.5371323,216.11687
