time,lat,lon,alt,x,y,z
1,0.0,0.0,0.0,0.0,-86.140656,19.917461
2,0.0,0.0,0.0,0.0,-85.93047,19.83555
3,0.0,0.0,0.0,0.0,-86.38136,19.917461
4,0.0,0.0,0.0,0.0,-86.38136,19.750998
5,0.0,0.0,0.0,3.17983,-85.94021,19.750998
6,0.0,0.0,0.0,3.3664606,-86.134,19.333519
7,0.0,0.0,0.0,3.0127873,-85.68229,19.502625
8,0.0,0.0,0.0,0.0,-86.38136,19.750998
9,0.0,0.0,0.0,3.5763342,-86.34552,19.418072
10,0.0,0.0,0.0,18.434948,-85.71115,19.584534
11,0.0,0.0,0.0,150.43964,-73.315895,19.669086
12,0.0,0.0,0.0,11.309934,-84.268166,19.333519
13,0.0,0.0,0.0,-2.4895525,-84.821045,19.750998
14,0.0,0.0,0.0,2.4895525,-84.80069,19.584534
15,0.0,0.0,0.0,0.0,-84.80557,19.917461
16,0.0,0.0,0.0,0.0,-84.80557,19.502625
17,0.0,0.0,0.0,0.0,-84.55967,19.750998
18,0.0,0.0,0.0,0.0,-84.80557,19.502625
19,0.0,0.0,0.0,6.3401914,-83.847145,19.584534
20,0.0,0.0,0.0,2.3859441,-84.55498,19.917461
21,0.0,0.0,0.0,4.3987055,-84.11528,19.584534
22,0.0,0.0,0.0,2.29061,-84.30749,20.002014
23,0.0,0.0,0.0,2.29061,-84.352196,20.419493
24,0.0,0.0,0.0,2.4895525,-84.78017,20.168476
25,0.0,0.0,0.0,0.0,-84.55967,19.502625
26,0.0,0.0,0.0,0.0,-84.80557,19.917461
27,0.0,0.0,0.0,0.0,-84.109375,19.83555
28,0.0,0.0,0.0,-2.4895525,-84.80069,19.584534
29,0.0,0.0,0.0,0.0,-84.35668,19.917461
30,0.0,0.0,0.0,10.784298,-85.17019,19.669086
31,0.0,0.0,0.0,-12.528807,-83.66164,18.83413
