time,lat,lon,alt,x,y,z
1,0.0,0.0,0.0,-21.801407,-86.33183,75.11985
2,0.0,0.0,0.0,-16.38954,-85.977715,75.790985
3,0.0,0.0,0.0,-15.524112,-85.74341,75.95745
4,0.0,0.0,0.0,-16.38954,-85.99356,75.70643
5,0.0,0.0,0.0,-17.354023,-86.19429,75.53732
6,0.0,0.0,0.0,-17.354023,-86.19429,75.11985
7,0.0,0.0,0.0,-16.38954,-85.96175,75.875534
8,0.0,0.0,0.0,-9.462321,-85.85822,75.53732
9,0.0,0.0,0.0,-12.528808,-85.81507,75.370865
10,0.0,0.0,0.0,-12.528808,-85.79846,75.95745
11,0.0,0.0,0.0,-20.556044,-86.10533,75.2044
12,0.0,0.0,0.0,-14.931416,-86.44668,75.62188
13,0.0,0.0,0.0,-12.528808,-85.81507,75.53732
14,0.0,0.0,0.0,-23.198591,-86.5411,75.03529
15,0.0,0.0,0.0,-2.8624053,-85.45657,75.2044
16,0.0,0.0,0.0,-14.743562,-85.52433,75.70643
17,0.0,0.0,0.0,-8.972626,-85.635025,75.95745
18,0.0,0.0,0.0,-16.38954,-85.96175,75.28631
19,0.0,0.0,0.0,-17.354023,-86.20929,75.455414
20,0.0,0.0,0.0,-12.528808,-85.79846,75.53732
21,0.0,0.0,0.0,-12.528808,-85.79846,76.12656
22,0.0,0.0,0.0,-14.036243,-86.28495,75.790985
23,0.0,0.0,0.0,-11.888658,-85.611435,75.95745
24,0.0,0.0,0.0,-16.38954,-85.977715,75.62188
25,0.0,0.0,0.0,-16.38954,-85.99356,75.370865
26,0.0,0.0,0.0,-14.036243,-86.255554,75.790985
27,0.0,0.0,0.0,-14.931416,-86.47481,75.370865
28,0.0,0.0,0.0,-12.528808,-85.79846,75.95745
29,0.0,0.0,0.0,-16.38954,-85.977715,75.370865
30,0.0,0.0,0.0,-17.354023,-86.20929,75.53732
31,0.0,0.0,0.0,-15.524112,-85.74341,75.790985
32,0.0,0.0,0.0,-15.524112,-85.76025,75.11985
33,0.0,0.0,0.0,-14.743562,-85.59425,75.53732
34,0.0,0.0,0.0,-21.250504,-85.61743,75.370865
35,0.0,0.0,0.0,-9.462321,-85.85822,75.875534
36,0.0,0.0,0.0,-16.38954,-85.96175,75.53732
37,0.0,0.0,0.0,-21.801407,-86.3463,75.53732
38,0.0,0.0,0.0,-16.38954,-85.977715,74.86883
39,0.0,0.0,0.0,-12.528808,-85.81507,75.28631
40,0.0,0.0,0.0,-13.24052,-86.03559,75.875534
41,0.0,0.0,0.0,-16.38954,-85.977715,75.70643
42,0.0,0.0,0.0,-10.619655,-86.30391,75.455414
43,0.0,0.0,0.0,-12.528808,-85.83155,75.875534
44,0.0,0.0,0.0,-17.354023,-86.16393,75.370865
45,0.0,0.0,0.0,-16.38954,-85.977715,76.042
46,0.0,0.0,0.0,-17.354023,-86.17918,75.370865
47,0.0,0.0,0.0,-18.434948,-85.71115,75.53732
48,0.0,0.0,0.0,-17.354023,-86.16393,75.455414
49,0.0,0.0,0.0,-16.38954,-85.94564,75.62188
50,0.0,0.0,0.0,-10.007979,-86.08121,75.62188
51,0.0,0.0,0.0,-19.440035,-85.908104,75.53732
52,0.0,0.0,0.0,-14.036243,-86.24068,75.53732
53,0.0,0.0,0.0,-15.524112,-85.76025,75.790985
54,0.0,0.0,0.0,-14.036243,-86.24068,75.875534
55,0.0,0.0,0.0,-13.24052,-86.03559,75.62188
56,0.0,0.0,0.0,-18.434948,-86.42391,75.28631
57,0.0,0.0,0.0,-18.434948,-85.659874,75.370865
58,0.0,0.0,0.0,-23.629377,-86.0667,75.95745
59,0.0,0.0,0.0,-20.224857,-85.42418,75.53732
60,0.0,0.0,0.0,-19.653826,-86.637215,75.455414
61,0.0,0.0,0.0,-18.434948,-85.72797,74.78428
62,0.0,0.0,0.0,-20.556044,-86.13602,75.455414
63,0.0,0.0,0.0,-15.524112,-85.76025,75.53732
64,0.0,0.0,0.0,-8.972626,-85.6177,76.042
65,0.0,0.0,0.0,-16.38954,-85.99356,75.455414
66,0.0,0.0,0.0,-18.434948,-85.69419,75.11985
67,0.0,0.0,0.0,-9.462321,-85.85822,75.875534
68,0.0,0.0,0.0,-17.354023,-86.19429,75.875534
69,0.0,0.0,0.0,-16.38954,-86.009285,75.28631
70,0.0,0.0,0.0,-18.434948,-86.40976,75.370865
71,0.0,0.0,0.0,-20.556044,-86.13602,75.455414
72,0.0,0.0,0.0,-14.036243,-85.32318,75.875534
73,0.0,0.0,0.0,-18.434948,-87.14905,75.70643
74,0.0,0.0,0.0,-15.524112,-85.79351,75.790985
75,0.0,0.0,0.0,-16.38954,-85.977715,76.208466
76,0.0,0.0,0.0,-20.556044,-86.13602,75.370865
77,0.0,0.0,0.0,-18.434948,-86.39549,75.95745
78,0.0,0.0,0.0,-17.354023,-86.20929,75.2044
79,0.0,0.0,0.0,-14.743562,-85.54202,75.875534
80,0.0,0.0,0.0,-16.38954,-85.96175,75.95745
81,0.0,0.0,0.0,-18.434948,-85.72797,75.53732
82,0.0,0.0,0.0,-20.556044,-86.120735,75.370865
83,0.0,0.0,0.0,-14.743562,-85.54202,76.12656
84,0.0,0.0,0.0,-17.354023,-86.19429,75.95745
85,0.0,0.0,0.0,-13.24052,-86.03559,75.875534
86,0.0,0.0,0.0,-17.354023,-86.17918,75.95745
87,0.0,0.0,0.0,-14.036243,-86.24068,75.790985
88,0.0,0.0,0.0,-18.434948,-86.40976,75.70643
89,0.0,0.0,0.0,-18.434948,-86.40976,76.46212
90,0.0,0.0,0.0,-13.24052,-86.03559,75.875534
91,0.0,0.0,0.0,-14.931416,-86.47481,75.62188
92,0.0,0.0,0.0,-17.354023,-86.17918,75.370865
93,0.0,0.0,0.0,-15.524112,-85.76025,75.53732
94,0.0,0.0,0.0,-20.556044,-86.120735,75.95745
95,0.0,0.0,0.0,-11.888658,-85.594086,75.875534
96,0.0,0.0,0.0,-8.972626,-85.669266,76.293015
97,0.0,0.0,0.0,-14.743562,-85.55956,76.12656
98,0.0,0.0,0.0,-15.9453945,-86.6932,75.70643
99,0.0,0.0,0.0,-16.38954,-85.99356,75.875534
100,0.0,0.0,0.0,-11.888658,-85.611435,75.875534
101,0.0,0.0,0.0,-8.972626,-85.635025,75.875534
102,0.0,0.0,0.0,-15.524112,-85.77693,75.370865
103,0.0,0.0,0.0,-23.962488,-85.56559,75.53732
104,0.0,0.0,0.0,-12.528808,-85.81507,75.70643
105,0.0,0.0,0.0,-20.556044,-86.120735,75.53732
106,0.0,0.0,0.0,-13.24052,-86.03559,75.53732
107,0.0,0.0,0.0,-17.525566,-85.496994,75.53732
108,0.0,0.0,0.0,-17.354023,-86.19429,75.2044
109,0.0,0.0,0.0,-17.354023,-86.20929,75.62188
110,0.0,0.0,0.0,-18.434948,-85.71115,76.042
111,0.0,0.0,0.0,-21.801407,-86.33183,76.54403
112,0.0,0.0,0.0,-21.801407,-86.3463,75.95745
113,0.0,0.0,0.0,-15.524112,-85.79351,75.95745
114,0.0,0.0,0.0,-19.440035,-85.92422,75.370865
115,0.0,0.0,0.0,-14.036243,-86.24068,75.790985
116,0.0,0.0,0.0,-17.354023,-86.17918,76.042
117,0.0,0.0,0.0,-14.036243,-86.255554,75.70643
118,0.0,0.0,0.0,-17.354023,-86.20929,76.208466
119,0.0,0.0,0.0,-16.38954,-85.977715,76.12656
120,0.0,0.0,0.0,-17.354023,-86.17918,76.293015
121,0.0,0.0,0.0,-13.24052,-86.03559,75.95745
122,0.0,0.0,0.0,-22.380133,-85.81079,75.875534
123,0.0,0.0,0.0,-13.24052,-86.03559,75.62188
124,0.0,0.0,0.0,-41.987213,-86.882286,75.53732
125,0.0,0.0,0.0,-14.931416,-86.488716,75.03529
126,0.0,0.0,0.0,-17.525566,-85.461266,75.455414
127,0.0,0.0,0.0,-23.629377,-86.01985,75.53732
128,0.0,0.0,0.0,-50.527542,-84.90494,75.95745
129,0.0,0.0,0.0,-33.690067,-86.73739,76.12656
130,0.0,0.0,0.0,-39.80557,-84.66691,75.790985
131,0.0,0.0,0.0,2.0454085,-83.579994,75.03529
132,0.0,0.0,0.0,-34.38034,-84.80069,75.2044
133,0.0,0.0,0.0,-29.054605,-85.34704,75.370865
134,0.0,0.0,0.0,-16.699242,-82.85897,75.875534
135,0.0,0.0,0.0,-29.054605,-85.310135,75.455414
136,0.0,0.0,0.0,-3.0127873,-85.61292,75.875534
137,0.0,0.0,0.0,-37.87498,-84.84971,75.370865
138,0.0,0.0,0.0,-36.384354,-84.60706,75.95745
139,0.0,0.0,0.0,-37.87498,-84.82938,75.95745
