time,lat,lon,alt,x,y,z
1,0.0,0.0,0.0,-9.285593,1.5046539,337.53464
2,0.0,0.0,0.0,-9.533232,1.5093131,337.96533
3,0.0,0.0,0.0,-9.21672,1.7068478,337.7064
4,0.0,0.0,0.0,-9.073282,1.5055546,337.36288
5,0.0,0.0,0.0,-9.709437,1.2881873,337.27835
6,0.0,0.0,0.0,-9.107334,1.7269114,337.96533
7,0.0,0.0,0.0,-9.005932,1.7078545,337.62183
8,0.0,0.0,0.0,-9.462321,1.4981943,337.62183
9,0.0,0.0,0.0,-8.939565,1.4835578,337.87814
10,0.0,0.0,0.0,-9.285593,1.7194837,337.45007
11,0.0,0.0,0.0,-9.107334,1.7269114,337.45007
12,0.0,0.0,0.0,-9.427257,1.7058194,337.62183
13,0.0,0.0,0.0,-9.673356,1.497265,337.62183
14,0.0,0.0,0.0,-9.462321,1.2842442,338.05252
15,0.0,0.0,0.0,-9.25103,1.4991045,338.22427
16,0.0,0.0,0.0,-9.533232,1.2937764,338.22427
17,0.0,0.0,0.0,-9.355494,1.0828915,338.05252
18,0.0,0.0,0.0,-9.355494,1.7323048,337.62183
19,0.0,0.0,0.0,-9.107334,1.7269114,337.7064
20,0.0,0.0,0.0,-9.390836,1.5215476,337.36288
21,0.0,0.0,0.0,-9.25103,1.4991045,337.7064
22,0.0,0.0,0.0,-9.533232,1.5093131,337.79358
23,0.0,0.0,0.0,-9.21672,1.7068478,337.19113
24,0.0,0.0,0.0,-9.107334,1.5111548,337.53464
25,0.0,0.0,0.0,-9.745787,2.1542864,338.1371
26,0.0,0.0,0.0,-9.285593,1.7194837,336.76044
27,0.0,0.0,0.0,-9.673356,1.497265,337.87814
28,0.0,0.0,0.0,-9.782407,1.513973,337.27835
29,0.0,0.0,0.0,-9.533232,1.2937764,337.19113
30,0.0,0.0,0.0,-9.285593,1.5046539,338.22427
31,0.0,0.0,0.0,-9.497646,1.7184318,337.27835
