time,lat,lon,alt,x,y,z
1,0.0,0.0,0.0,-7.431407,-84.72031,75.03529
2,0.0,0.0,0.0,-4.9697404,-84.74476,75.53732
3,0.0,0.0,0.0,-9.865807,-84.72804,75.370865
4,0.0,0.0,0.0,-4.9697404,-84.78607,75.03529
5,0.0,0.0,0.0,-4.763642,-84.56237,74.78428
6,0.0,0.0,0.0,-2.3859441,-84.57636,74.86883
7,0.0,0.0,0.0,-9.865807,-84.70724,75.455414
8,0.0,0.0,0.0,-4.763642,-84.49752,75.62188
9,0.0,0.0,0.0,-7.431407,-84.74114,75.455414
10,0.0,0.0,0.0,-4.9697404,-84.765495,74.86883
11,0.0,0.0,0.0,-5.4403324,-85.2149,75.455414
12,0.0,0.0,0.0,-7.431407,-84.76181,75.2044
13,0.0,0.0,0.0,-9.462321,-84.485085,75.2044
14,0.0,0.0,0.0,-5.4403324,-85.2524,75.2044
15,0.0,0.0,0.0,-8.130102,-85.207146,75.28631
16,0.0,0.0,0.0,-8.130102,-85.188225,75.790985
17,0.0,0.0,0.0,-7.765166,-84.98449,75.28631
18,0.0,0.0,0.0,-9.090278,-84.28537,75.28631
19,0.0,0.0,0.0,-7.431407,-84.72031,74.950745
20,0.0,0.0,0.0,-7.765166,-84.9647,75.2044
21,0.0,0.0,0.0,-4.573921,-84.29395,74.950745
22,0.0,0.0,0.0,-6.8427734,-84.33869,75.03529
23,0.0,0.0,0.0,-4.9697404,-84.765495,75.53732
24,0.0,0.0,0.0,-10.304848,-84.96898,74.950745
25,0.0,0.0,0.0,-4.763642,-84.56237,74.69972
26,0.0,0.0,0.0,-7.431407,-84.76181,75.28631
27,0.0,0.0,0.0,-8.130102,-85.169136,74.86883
28,0.0,0.0,0.0,-7.765166,-84.9647,75.2044
29,0.0,0.0,0.0,-4.9697404,-84.78607,74.950745
30,0.0,0.0,0.0,-5.194429,-85.009865,75.455414
31,0.0,0.0,0.0,-4.9697404,-84.74476,75.28631
32,0.0,0.0,0.0,-4.9697404,-84.723854,75.03529
33,0.0,0.0,0.0,-7.431407,-84.76181,74.78428
34,0.0,0.0,0.0,-4.9697404,-84.74476,75.28631
35,0.0,0.0,0.0,-2.4895525,-84.78017,75.28631
36,0.0,0.0,0.0,-4.763642,-84.56237,74.69972
37,0.0,0.0,0.0,-2.4895525,-84.80069,75.11985
38,0.0,0.0,0.0,-7.431407,-84.74114,75.62188
39,0.0,0.0,0.0,-7.765166,-84.9647,75.53732
40,0.0,0.0,0.0,-5.4403324,-85.19593,75.2044
41,0.0,0.0,0.0,-4.9697404,-84.78607,75.2044
42,0.0,0.0,0.0,-4.763642,-84.54092,75.370865
43,0.0,0.0,0.0,-4.9697404,-84.78607,74.950745
44,0.0,0.0,0.0,-7.765166,-84.98449,75.28631
45,0.0,0.0,0.0,-8.972626,-85.6177,75.875534
46,0.0,0.0,0.0,-2.3859441,-84.57636,75.455414
47,0.0,0.0,0.0,-2.2025983,-84.081726,75.455414
48,0.0,0.0,0.0,-2.29061,-84.32993,74.69972
49,0.0,0.0,0.0,-12.264773,-84.68493,74.86883
50,0.0,0.0,0.0,-5.194429,-85.009865,75.70643
51,0.0,0.0,0.0,-7.125016,-84.53912,74.950745
52,0.0,0.0,0.0,-5.4403324,-85.2149,74.86883
53,0.0,0.0,0.0,-6.8427734,-84.22577,75.53732
54,0.0,0.0,0.0,-5.194429,-85.009865,74.69972
55,0.0,0.0,0.0,-9.865807,-84.66513,74.78428
56,0.0,0.0,0.0,-4.763642,-84.54092,75.53732
57,0.0,0.0,0.0,-2.3859441,-84.55498,74.533264
58,0.0,0.0,0.0,-4.9697404,-84.74476,75.03529
59,0.0,0.0,0.0,-4.9697404,-84.826744,75.03529
60,0.0,0.0,0.0,-4.9697404,-84.78607,75.2044
61,0.0,0.0,0.0,-2.6025622,-85.02515,75.11985
62,0.0,0.0,0.0,-5.194429,-84.990166,74.61517
63,0.0,0.0,0.0,-7.431407,-84.72031,75.11985
64,0.0,0.0,0.0,-7.125016,-84.53912,75.370865
65,0.0,0.0,0.0,-7.125016,-84.49587,75.11985
66,0.0,0.0,0.0,-5.4403324,-85.2524,75.28631
67,0.0,0.0,0.0,-4.573921,-84.316444,74.78428
68,0.0,0.0,0.0,-5.194429,-84.97031,75.370865
69,0.0,0.0,0.0,-9.865807,-84.68627,74.69972
70,0.0,0.0,0.0,-8.530766,-85.44765,74.533264
71,0.0,0.0,0.0,-4.763642,-84.58365,74.61517
72,0.0,0.0,0.0,-8.130102,-85.188225,74.69972
73,0.0,0.0,0.0,-7.125016,-84.53912,74.86883
74,0.0,0.0,0.0,-5.4403324,-85.23373,74.86883
75,0.0,0.0,0.0,-4.9697404,-84.765495,74.86883
76,0.0,0.0,0.0,-4.763642,-84.54092,74.44871
77,0.0,0.0,0.0,-2.726311,-85.23099,74.78428
78,0.0,0.0,0.0,-7.765166,-84.94474,74.78428
79,0.0,0.0,0.0,-4.9697404,-84.78607,74.86883
80,0.0,0.0,0.0,-4.573921,-84.33876,74.78428
81,0.0,0.0,0.0,-12.804266,-84.84335,75.03529
82,0.0,0.0,0.0,-5.4403324,-85.2149,75.03529
83,0.0,0.0,0.0,-3.17983,-85.92422,74.950745
84,0.0,0.0,0.0,-7.431407,-84.74114,74.69972
85,0.0,0.0,0.0,-7.431407,-84.76181,75.370865
86,0.0,0.0,0.0,-7.431407,-84.72031,75.03529
87,0.0,0.0,0.0,-9.865807,-84.70724,75.03529
