time,lat,lon,alt,x,y,z
1,0.0,0.0,0.0,-21.801407,-85.1143,76.042
2,0.0,0.0,0.0,-19.983107,-84.671745,76.293015
3,0.0,0.0,0.0,-26.565052,-84.33591,76.54403
4,0.0,0.0,0.0,-23.198587,-84.819496,75.790985
5,0.0,0.0,0.0,-27.645973,-84.64692,76.042
6,0.0,0.0,0.0,-21.37062,-84.42438,76.12656
7,0.0,0.0,0.0,-33.023865,-84.59263,76.293015
8,0.0,0.0,0.0,-24.623566,-84.019226,75.70643
9,0.0,0.0,0.0,-24.227745,-85.00633,76.37757
10,0.0,0.0,0.0,-18.434948,-84.267296,76.54403
11,0.0,0.0,0.0,-26.565052,-84.42523,76.37757
12,0.0,0.0,0.0,-24.443956,-84.52224,76.37757
13,0.0,0.0,0.0,-23.198587,-84.819496,76.79769
14,0.0,0.0,0.0,-23.198587,-84.83987,75.875534
15,0.0,0.0,0.0,-23.498566,-84.360916,75.875534
16,0.0,0.0,0.0,-25.463345,-84.76787,76.628586
17,0.0,0.0,0.0,-25.559963,-84.17708,75.95745
18,0.0,0.0,0.0,-28.810793,-84.803925,76.12656
19,0.0,0.0,0.0,-24.443956,-84.56512,75.70643
20,0.0,0.0,0.0,-26.565052,-84.92926,76.628586
21,0.0,0.0,0.0,-24.443956,-84.52224,76.628586
22,0.0,0.0,0.0,-26.565052,-84.92926,76.54403
23,0.0,0.0,0.0,-23.498566,-84.33876,76.79769
24,0.0,0.0,0.0,-22.249023,-84.59022,76.293015
25,0.0,0.0,0.0,-24.227745,-85.00633,75.95745
26,0.0,0.0,0.0,-26.565052,-84.40317,76.37757
27,0.0,0.0,0.0,-29.744879,-84.517586,76.293015
28,0.0,0.0,0.0,-25.559963,-84.22298,76.46212
29,0.0,0.0,0.0,-22.249023,-84.61155,76.293015
30,0.0,0.0,0.0,-23.962488,-85.5128,76.293015
31,0.0,0.0,0.0,-24.443956,-84.52224,76.293015
32,0.0,0.0,0.0,-26.565052,-84.42523,76.54403
33,0.0,0.0,0.0,-30.068583,-85.04048,76.628586
34,0.0,0.0,0.0,-26.565052,-84.42523,76.37757
35,0.0,0.0,0.0,-27.758541,-85.1492,75.95745
36,0.0,0.0,0.0,-22.249023,-84.61155,75.95745
37,0.0,0.0,0.0,-23.198587,-84.83987,76.37757
38,0.0,0.0,0.0,-26.565052,-84.9492,75.95745
39,0.0,0.0,0.0,-21.801407,-85.1143,76.54403
40,0.0,0.0,0.0,-20.854458,-84.9041,76.12656
41,0.0,0.0,0.0,-30.068583,-85.001175,76.293015
42,0.0,0.0,0.0,-25.463345,-84.747314,75.95745
43,0.0,0.0,0.0,-22.249023,-84.59022,75.790985
44,0.0,0.0,0.0,-27.645973,-84.64692,76.208466
45,0.0,0.0,0.0,-27.552807,-84.09911,76.042
46,0.0,0.0,0.0,-27.758541,-85.168205,76.208466
47,0.0,0.0,0.0,-25.463345,-84.705696,75.875534
48,0.0,0.0,0.0,-28.810793,-84.82443,76.208466
49,0.0,0.0,0.0,-18.434948,-84.2898,76.46212
50,0.0,0.0,0.0,-27.645973,-84.60451,76.208466
51,0.0,0.0,0.0,-25.346174,-85.212074,76.54403
52,0.0,0.0,0.0,-29.054605,-85.310135,75.875534
53,0.0,0.0,0.0,-23.198587,-84.79897,76.293015
54,0.0,0.0,0.0,-23.198587,-84.86008,76.12656
55,0.0,0.0,0.0,-30.068583,-85.0209,76.042
56,0.0,0.0,0.0,-24.227745,-85.02605,75.875534
57,0.0,0.0,0.0,-26.565052,-84.468864,75.95745
58,0.0,0.0,0.0,-26.565052,-84.9492,75.790985
59,0.0,0.0,0.0,-25.463345,-84.726585,76.293015
60,0.0,0.0,0.0,-27.645973,-84.58306,75.2044
61,0.0,0.0,0.0,-26.565052,-84.44713,75.53732
62,0.0,0.0,0.0,-26.565052,-84.88891,75.455414
63,0.0,0.0,0.0,-26.565052,-84.9492,75.875534
64,0.0,0.0,0.0,-25.346174,-85.23099,75.790985
65,0.0,0.0,0.0,-25.463345,-84.705696,75.455414
66,0.0,0.0,0.0,-19.983107,-84.69277,75.790985
67,0.0,0.0,0.0,-25.463345,-84.747314,75.95745
68,0.0,0.0,0.0,-23.198587,-84.819496,75.370865
69,0.0,0.0,0.0,-23.198587,-84.819496,75.70643
70,0.0,0.0,0.0,-31.429564,-85.2149,75.455414
71,0.0,0.0,0.0,-25.346174,-85.24974,75.455414
72,0.0,0.0,0.0,-25.463345,-84.747314,75.53732
73,0.0,0.0,0.0,-23.198587,-84.79897,75.53732
74,0.0,0.0,0.0,-28.810793,-84.84479,75.62188
75,0.0,0.0,0.0,-22.249023,-84.63273,75.53732
76,0.0,0.0,0.0,-31.429564,-85.2149,75.95745
77,0.0,0.0,0.0,-25.463345,-84.726585,75.790985
