time,lat,lon,alt,x,y,z
1,0.0,0.0,0.0,-0.92033494,1.610093,125.050896
2,0.0,0.0,0.0,-0.68477744,1.825412,124.88443
3,0.0,0.0,0.0,-1.1503632,1.8398248,125.55821
4,0.0,0.0,0.0,-0.68477744,2.0534039,125.47366
5,0.0,0.0,0.0,-0.9093805,2.0451512,124.46167
6,0.0,0.0,0.0,-0.46019715,1.3803096,124.96635
7,0.0,0.0,0.0,-0.45653036,1.8254843,124.79988
8,0.0,0.0,0.0,-0.68751633,1.6037474,124.79988
9,0.0,0.0,0.0,-1.1550004,1.616462,125.30456
10,0.0,0.0,0.0,-0.6820604,2.499243,124.79988
11,0.0,0.0,0.0,-1.3859178,1.8470702,125.13545
12,0.0,0.0,0.0,-0.45653036,2.0534854,125.050896
13,0.0,0.0,0.0,-0.92404544,1.3857378,124.46167
14,0.0,0.0,0.0,-0.4583565,1.6038114,124.630775
15,0.0,0.0,0.0,-0.45292157,1.8110641,124.88443
16,0.0,0.0,0.0,-1.1596752,1.8547058,124.88443
17,0.0,0.0,0.0,-0.69027716,1.8400619,124.96635
18,0.0,0.0,0.0,-0.92404544,1.61658,125.89378
19,0.0,0.0,0.0,-0.9166542,2.2903175,125.22
20,0.0,0.0,0.0,-0.6820604,2.0452638,124.54622
21,0.0,0.0,0.0,-0.46019715,2.069964,124.630775
22,0.0,0.0,0.0,-0.9166542,1.6036578,124.79988
23,0.0,0.0,0.0,-0.9130027,2.5090463,125.30456
24,0.0,0.0,0.0,-0.4583565,2.0616915,124.96635
25,0.0,0.0,0.0,-0.68751633,1.6037474,124.54622
26,0.0,0.0,0.0,-0.4583565,1.6038114,125.38911
27,0.0,0.0,0.0,-1.1366721,2.2720032,124.79988
28,0.0,0.0,0.0,-0.92404544,2.308763,125.55821
29,0.0,0.0,0.0,-0.45653036,1.8254843,125.38911
30,0.0,0.0,0.0,-0.68751633,1.1456804,124.96635
31,0.0,0.0,0.0,-0.9130027,1.5972732,125.47366
32,0.0,0.0,0.0,-0.68477744,2.0534039,125.30456
33,0.0,0.0,0.0,-0.4583565,2.0616915,125.13545
34,0.0,0.0,0.0,-0.9166542,1.8326055,125.050896
35,0.0,0.0,0.0,-1.1503632,1.3800759,125.38911
36,0.0,0.0,0.0,-0.68477744,1.825412,125.47366
37,0.0,0.0,0.0,-1.380354,1.6098336,125.30456
38,0.0,0.0,0.0,-0.68751633,2.0616093,125.38911
39,0.0,0.0,0.0,-0.45113853,2.0292535,124.46167
40,0.0,0.0,0.0,-0.4547189,1.8182456,125.22
41,0.0,0.0,0.0,-0.27154192,1.0860336,124.96635
42,0.0,0.0,0.0,-0.4547189,1.8182456,124.96635
43,0.0,0.0,0.0,-0.68477744,2.0534039,125.13545
44,0.0,0.0,0.0,-0.46205273,3.0005643,124.96635
45,0.0,0.0,0.0,-0.227363,2.0453925,125.55821
46,0.0,0.0,0.0,-1.6167903,2.7691147,124.96635
47,0.0,0.0,0.0,-1.3639276,2.0448294,124.630775
48,0.0,0.0,0.0,1.7969251,-0.0,124.71533
49,0.0,0.0,0.0,-1.5786178,2.4788237,124.96635
50,0.0,0.0,0.0,-1.3748348,2.5186653,125.30456
51,0.0,0.0,0.0,-0.67936474,1.8109937,124.71533
