time,lat,lon,alt,x,y,z
1,0.0,0.0,0.0,-1.6167903,0.69278437,135.59093
2,0.0,0.0,0.0,-1.6167903,-0.0,135.25272
3,0.0,0.0,0.0,-2.0700307,0.22995216,134.99905
4,0.0,0.0,0.0,-2.27245,0.22718422,135.33727
5,0.0,0.0,0.0,-2.3090627,0.46167767,135.25272
6,0.0,0.0,0.0,-2.2997997,0.6897213,135.42183
7,0.0,0.0,0.0,-2.0617578,-0.0,135.16817
8,0.0,0.0,0.0,-1.8401953,0.22998364,134.99905
9,0.0,0.0,0.0,-1.8328396,0.22906466,134.8326
10,0.0,0.0,0.0,-2.2997997,0.22991697,135.33727
11,0.0,0.0,0.0,-1.8328396,0.45812201,135.67548
12,0.0,0.0,0.0,-2.29061,0.6869671,135.25272
13,0.0,0.0,0.0,-2.0617578,0.6870713,135.42183
14,0.0,0.0,0.0,-1.8328396,-0.0,134.49438
16,0.0,0.0,0.0,-1.3859178,0.23096256,134.8326
17,0.0,0.0,0.0,-2.7591076,0.22983557,135.59093
18,0.0,0.0,0.0,-1.6038626,0.45817694,135.08362
19,0.0,0.0,0.0,-1.8328396,-0.0,135.16817
20,0.0,0.0,0.0,-2.2814937,0.4561686,135.50638
21,0.0,0.0,0.0,-2.0535502,0.22812222,135.59093
22,0.0,0.0,0.0,-1.6103005,-0.0,135.16817
23,0.0,0.0,0.0,-2.3090627,0.23084258,135.25272
24,0.0,0.0,0.0,-2.0373304,-0.0,135.33727
25,0.0,0.0,0.0,-2.2997997,0.45982653,134.99905
26,0.0,0.0,0.0,-2.07837,0.46174887,134.99905
